Date,Price,Open,High,Low,Vol.,Change %
05/23/2024,"49,500.00","49,100.00","50,200.00","49,100.00",1.79M,-0.60%
05/22/2024,"49,800.00","50,100.00","51,200.00","49,750.00",2.43M,-0.40%
05/21/2024,"50,000.00","49,600.00","50,300.00","49,400.00",1.79M,0.81%
05/20/2024,"49,600.00","49,450.00","50,700.00","49,400.00",2.19M,0.51%
05/17/2024,"49,350.00","49,750.00","50,000.00","49,200.00",1.52M,1.04%
05/16/2024,"48,840.00","49,200.00","50,300.00","48,600.00",2.10M,0.49%
05/15/2024,"48,600.00","49,000.00","49,000.00","48,100.00",1.39M,1.04%
05/14/2024,"48,100.00","48,600.00","49,200.00","48,000.00",1.95M,-1.03%
05/13/2024,"48,600.00","49,100.00","49,500.00","48,500.00",1.66M,-0.92%
05/10/2024,"49,050.00","50,500.00","50,500.00","48,950.00",827.70K,-0.91%
05/09/2024,"49,500.00","49,800.00","50,400.00","49,500.00",970.60K,-0.60%
05/08/2024,"49,800.00","50,300.00","50,800.00","49,750.00",1.06M,-0.40%
05/07/2024,"50,000.00","50,500.00","51,000.00","49,950.00",1.07M,-0.99%
05/06/2024,"50,500.00","49,650.00","50,500.00","49,300.00",1.19M,2.64%
05/03/2024,"49,200.00","50,500.00","50,500.00","49,000.00",700.80K,-0.24%
05/02/2024,"49,320.00","49,300.00","50,500.00","48,850.00",568.70K,0.24%
04/26/2024,"49,200.00","49,600.00","50,300.00","49,100.00",774.50K,-0.81%
04/25/2024,"49,600.00","50,000.00","50,300.00","49,300.00",1.05M,1.12%
04/24/2024,"49,050.00","49,400.00","50,400.00","49,050.00",1.42M,0.04%
04/23/2024,"49,030.00","50,100.00","50,400.00","48,500.00",2.27M,-2.14%
04/22/2024,"50,100.00","48,350.00","50,100.00","48,350.00",1.30M,3.62%
04/19/2024,"48,350.00","48,000.00","49,500.00","47,100.00",2.17M,0.52%
04/17/2024,"48,100.00","50,300.00","51,000.00","48,000.00",1.97M,-4.37%
04/16/2024,"50,300.00","49,800.00","51,200.00","49,450.00",2.35M,1.21%
04/15/2024,"49,700.00","54,000.00","54,500.00","49,700.00",2.54M,-6.93%
04/12/2024,"53,400.00","52,000.00","54,500.00","52,000.00",3.37M,0.75%
04/11/2024,"53,000.00","51,000.00","53,400.00","51,000.00",2.28M,1.65%
04/10/2024,"52,140.00","52,700.00","53,000.00","51,700.00",1.19M,-3.00%
04/09/2024,"53,750.00","51,100.00","53,750.00","50,800.00",1.75M,3.07%
04/08/2024,"52,150.00","50,300.00","52,150.00","50,000.00",904.80K,3.47%
04/05/2024,"50,400.00","51,000.00","51,000.00","50,200.00",1.65M,-1.18%
04/04/2024,"51,000.00","51,200.00","51,800.00","51,000.00",1.09M,-1.73%
04/03/2024,"51,900.00","54,000.00","54,000.00","51,000.00",1.50M,0.00%
04/02/2024,"51,900.00","51,800.00","52,700.00","51,500.00",1.58M,-0.38%
04/01/2024,"52,100.00","52,200.00","52,700.00","51,700.00",1.36M,0.00%
03/29/2024,"52,100.00","52,700.00","53,200.00","51,880.00",1.79M,-0.76%
03/28/2024,"52,500.00","52,600.00","53,900.00","52,500.00",1.24M,0.00%
03/27/2024,"52,500.00","53,300.00","55,100.00","52,500.00",1.61M,-1.13%
03/26/2024,"53,100.00","53,000.00","54,000.00","53,000.00",1.21M,0.19%
03/25/2024,"53,000.00","54,200.00","55,400.00","52,600.00",1.26M,-2.21%
03/22/2024,"54,200.00","53,000.00","56,700.00","53,000.00",4.36M,2.26%
03/21/2024,"53,000.00","53,200.00","53,400.00","52,800.00",1.86M,0.00%
03/20/2024,"53,000.00","51,600.00","53,100.00","50,500.00",3.13M,2.71%
03/19/2024,"51,600.00","52,100.00","52,100.00","51,000.00",765.30K,-0.77%
03/18/2024,"52,000.00","52,000.00","52,800.00","49,900.00",1.48M,-0.38%
03/15/2024,"52,200.00","51,600.00","52,800.00","51,000.00",1.43M,0.97%
03/14/2024,"51,700.00","53,500.00","53,500.00","51,400.00",1.48M,-1.71%
03/13/2024,"52,600.00","52,200.00","52,600.00","51,800.00",1.40M,1.15%
03/12/2024,"52,000.00","50,600.00","52,100.00","50,500.00",1.21M,2.97%
03/11/2024,"50,500.00","51,800.00","52,400.00","50,500.00",1.48M,-1.17%
03/08/2024,"51,100.00","53,400.00","53,400.00","49,600.00",2.74M,-4.13%
03/07/2024,"53,300.00","54,400.00","54,400.00","53,200.00",2.13M,-0.93%
03/06/2024,"53,800.00","54,000.00","54,800.00","53,600.00",949.80K,-1.10%
03/05/2024,"54,400.00","53,500.00","54,400.00","52,900.00",1.20M,1.68%
03/04/2024,"53,500.00","53,600.00","54,500.00","52,500.00",2.33M,0.00%
03/01/2024,"53,500.00","53,300.00","54,300.00","52,400.00",1.25M,0.94%
02/29/2024,"53,000.00","53,900.00","54,000.00","53,000.00",1.34M,-1.67%
02/28/2024,"53,900.00","53,200.00","54,800.00","52,300.00",2.34M,1.70%
02/27/2024,"53,000.00","53,700.00","54,000.00","53,000.00",1.74M,-1.12%
02/26/2024,"53,600.00","52,800.00","54,500.00","52,000.00",1.53M,2.88%
02/23/2024,"52,100.00","49,800.00","53,200.00","49,300.00",6.94M,4.72%
02/22/2024,"49,750.00","49,800.00","49,900.00","49,500.00",1.60M,0.00%
02/21/2024,"49,750.00","49,750.00","49,800.00","48,900.00",1.85M,0.71%
02/20/2024,"49,400.00","49,500.00","50,200.00","49,400.00",1.57M,0.20%
02/19/2024,"49,300.00","48,750.00","50,300.00","48,250.00",3.28M,1.54%
02/16/2024,"48,550.00","49,000.00","49,000.00","48,300.00",1.35M,-0.82%
02/15/2024,"48,950.00","48,950.00","49,250.00","48,450.00",1.63M,0.00%
02/07/2024,"48,950.00","48,800.00","49,050.00","48,600.00",1.86M,0.31%
02/06/2024,"48,800.00","48,800.00","48,800.00","48,000.00",1.53M,0.31%
02/05/2024,"48,650.00","47,100.00","49,400.00","47,050.00",2.25M,3.73%
02/02/2024,"46,900.00","47,300.00","47,500.00","46,700.00",1.95M,-0.74%
02/01/2024,"47,250.00","47,500.00","47,950.00","47,150.00",1.54M,-0.94%
01/31/2024,"47,700.00","48,500.00","48,800.00","47,500.00",1.67M,-1.55%
01/30/2024,"48,450.00","48,800.00","48,900.00","48,200.00",1.12M,-0.51%
01/29/2024,"48,700.00","48,900.00","49,200.00","48,500.00",984.50K,-0.51%
01/26/2024,"48,950.00","48,400.00","48,950.00","48,400.00",812.40K,1.14%
01/25/2024,"48,400.00","48,900.00","49,750.00","48,400.00",1.35M,-1.02%
01/24/2024,"48,900.00","48,500.00","49,200.00","48,450.00",1.87M,-1.01%
01/23/2024,"49,400.00","49,500.00","49,800.00","48,650.00",2.18M,-0.80%
01/22/2024,"49,800.00","49,950.00","50,200.00","48,700.00",2.37M,-0.10%
01/19/2024,"49,850.00","47,900.00","49,850.00","47,200.00",2.95M,4.95%
01/18/2024,"47,500.00","46,850.00","47,850.00","46,650.00",2.28M,1.39%
01/17/2024,"46,850.00","46,550.00","47,000.00","46,300.00",1.46M,-0.11%
01/16/2024,"46,900.00","46,050.00","46,950.00","46,050.00",1.13M,0.64%
01/15/2024,"46,600.00","46,050.00","47,000.00","46,050.00",1.34M,1.30%
01/12/2024,"46,000.00","45,900.00","47,200.00","45,050.00",3.07M,-1.08%
01/11/2024,"46,500.00","47,200.00","47,250.00","46,200.00",3.39M,-1.90%
01/10/2024,"47,400.00","46,050.00","47,800.00","46,000.00",2.14M,2.93%
01/09/2024,"46,050.00","47,000.00","47,000.00","46,050.00",1.74M,-0.75%
01/08/2024,"46,400.00","44,800.00","46,500.00","44,650.00",1.95M,4.27%
01/05/2024,"44,500.00","43,700.00","44,950.00","43,700.00",1.33M,1.95%
01/04/2024,"43,650.00","43,900.00","45,000.00","43,600.00",3.21M,-0.34%
01/03/2024,"43,800.00","43,400.00","44,100.00","43,000.00",1.56M,1.86%
01/02/2024,"43,000.00","43,400.00","43,600.00","42,700.00",1.11M,-0.92%
