Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
24/05/2024,"44,550.00","44,600.00","46,000.00","43,950.00",1.34M,-0.11%
23/05/2024,"44,600.00","41,600.00","44,600.00","41,550.00",2.69M,6.95%
22/05/2024,"41,700.00","42,300.00","42,400.00","41,600.00",482.80K,-1.07%
21/05/2024,"42,150.00","42,300.00","42,900.00","41,750.00",658.00K,-0.47%
20/05/2024,"42,350.00","40,850.00","42,650.00","40,800.00",1.06M,3.67%
17/05/2024,"40,850.00","40,800.00","40,900.00","40,550.00",286.90K,0.12%
16/05/2024,"40,800.00","40,600.00","41,000.00","40,600.00",193.90K,0.62%
15/05/2024,"40,550.00","40,350.00","40,700.00","40,350.00",185.40K,0.37%
14/05/2024,"40,400.00","40,450.00","40,750.00","40,100.00",162.60K,-0.12%
13/05/2024,"40,450.00","40,400.00","41,200.00","40,400.00",145.90K,-0.61%
10/05/2024,"40,700.00","40,750.00","41,500.00","40,550.00",244.00K,-0.61%
09/05/2024,"40,950.00","41,600.00","41,600.00","40,600.00",235.60K,-0.36%
08/05/2024,"41,100.00","38,650.00","41,550.00","38,650.00",332.40K,-0.72%
07/05/2024,"41,400.00","40,550.00","41,550.00","40,550.00",596.90K,2.10%
06/05/2024,"40,550.00","40,050.00","40,550.00","40,000.00",246.30K,1.38%
03/05/2024,"40,000.00","39,600.00","40,650.00","39,600.00",297.40K,-0.25%
02/05/2024,"40,100.00","39,050.00","40,400.00","39,050.00",359.20K,1.65%
26/04/2024,"39,450.00","39,300.00","39,450.00","38,900.00",303.90K,0.38%
25/04/2024,"39,300.00","39,450.00","39,700.00","39,200.00",154.30K,-0.76%
24/04/2024,"39,600.00","38,200.00","39,700.00","38,200.00",239.80K,0.89%
23/04/2024,"39,250.00","39,600.00","39,600.00","38,850.00",209.90K,-0.88%
22/04/2024,"39,600.00","38,500.00","40,050.00","38,500.00",446.70K,2.86%
19/04/2024,"38,500.00","38,600.00","39,000.00","38,200.00",606.40K,-0.26%
17/04/2024,"38,600.00","39,350.00","40,000.00","38,450.00",779.30K,-1.91%
16/04/2024,"39,350.00","39,800.00","40,000.00","39,000.00",618.00K,-0.88%
15/04/2024,"39,700.00","41,700.00","41,900.00","39,200.00",405.00K,-5.25%
12/04/2024,"41,900.00","42,000.00","42,000.00","41,300.00",132.40K,1.09%
11/04/2024,"41,450.00","41,550.00","41,550.00","41,250.00",173.60K,-0.24%
10/04/2024,"41,550.00","39,600.00","41,850.00","39,600.00",233.00K,0.00%
09/04/2024,"41,550.00","41,700.00","41,950.00","41,300.00",302.90K,0.00%
08/04/2024,"41,550.00","41,350.00","42,000.00","41,350.00",323.70K,-0.36%
05/04/2024,"41,700.00","42,100.00","42,100.00","41,700.00",274.70K,-0.95%
04/04/2024,"42,100.00","42,000.00","42,600.00","42,000.00",199.20K,-0.47%
03/04/2024,"42,300.00","42,400.00","42,950.00","42,000.00",273.00K,-0.12%
02/04/2024,"42,350.00","42,400.00","42,700.00","41,900.00",471.00K,-0.12%
01/04/2024,"42,400.00","42,750.00","42,950.00","42,300.00",268.00K,-0.82%
29/03/2024,"42,750.00","43,550.00","43,550.00","42,650.00",526.10K,-1.38%
28/03/2024,"43,350.00","43,300.00","43,550.00","43,200.00",368.00K,0.12%
