Date,Price,Open,High,Low,Vol.,Change %
05/23/2024,"142,140.00","136,000.00","142,140.00","135,000.00",3.62M,3.00%
05/22/2024,"138,000.00","139,500.00","145,500.00","126,500.00",4.51M,2.43%
05/21/2024,"134,720.00","142,300.00","142,300.00","133,500.00",3.47M,1.29%
05/20/2024,"133,000.00","136,000.00","136,000.00","133,000.00",2.01M,-0.75%
05/17/2024,"134,000.00","138,500.00","138,500.00","132,400.00",2.31M,-3.60%
05/16/2024,"139,000.00","137,450.00","140,000.00","124,800.00",3.12M,4.51%
05/15/2024,"133,000.00","132,800.00","137,020.00","121,400.00",3.65M,1.92%
05/14/2024,"130,500.00","133,000.00","133,590.00","129,600.00",2.30M,0.62%
05/13/2024,"129,700.00","132,500.00","135,000.00","121,900.00",1.85M,-0.99%
05/10/2024,"131,000.00","130,300.00","134,200.00","121,200.00",3.79M,0.54%
05/09/2024,"130,300.00","131,000.00","136,550.00","121,900.00",2.20M,-4.58%
05/08/2024,"136,550.00","134,500.00","140,400.00","129,300.00",3.02M,4.00%
05/07/2024,"131,300.00","136,500.00","136,500.00","127,200.00",3.12M,2.90%
05/06/2024,"127,600.00","129,800.00","129,800.00","124,500.00",2.70M,1.02%
05/03/2024,"126,310.00","136,200.00","136,200.00","124,300.00",3.19M,-0.78%
05/02/2024,"127,300.00","124,000.00","131,800.00","123,500.00",3.47M,3.41%
04/26/2024,"123,100.00","123,200.00","131,800.00","121,100.00",3.28M,-0.08%
04/25/2024,"123,200.00","128,500.00","128,500.00","120,100.00",5.71M,2.58%
04/24/2024,"120,100.00","113,900.00","120,100.00","113,200.00",10.16M,6.95%
04/23/2024,"112,300.00","111,000.00","118,000.00","102,600.00",4.04M,1.81%
04/22/2024,"110,300.00","108,000.00","116,600.00","108,000.00",2.40M,1.19%
04/19/2024,"109,000.00","111,600.00","119,600.00","108,500.00",5.36M,3.71%
04/17/2024,"105,100.00","113,000.00","120,900.00","105,100.00",1.94M,-6.99%
04/16/2024,"113,000.00","111,600.00","119,400.00","111,500.00",3.64M,1.25%
04/15/2024,"111,600.00","116,200.00","123,500.00","111,500.00",3.70M,-3.38%
04/12/2024,"115,500.00","122,900.00","122,900.00","106,900.00",1.37M,0.52%
04/11/2024,"114,900.00","113,800.00","121,700.00","113,300.00",1.55M,0.97%
04/10/2024,"113,800.00","116,000.00","120,900.00","113,300.00",1.79M,0.71%
04/09/2024,"113,000.00","112,600.00","113,200.00","112,500.00",1.43M,0.36%
04/08/2024,"112,600.00","113,600.00","113,700.00","112,600.00",1.95M,-0.97%
04/05/2024,"113,700.00","107,000.00","114,700.00","107,000.00",2.76M,-7.64%
04/04/2024,"123,100.00","120,000.00","123,100.00","114,000.00",2.36M,6.95%
04/03/2024,"115,100.00","116,800.00","125,100.00","115,100.00",2.55M,-1.62%
04/02/2024,"117,000.00","124,900.00","124,900.00","115,300.00",2.29M,0.17%
04/01/2024,"116,800.00","118,000.00","124,600.00","108,400.00",1.97M,0.26%
03/29/2024,"116,500.00","117,100.00","125,200.00","114,000.00",1.34M,-0.51%
03/28/2024,"117,100.00","115,500.00","123,200.00","115,300.00",2.80M,1.65%
03/27/2024,"115,200.00","115,400.00","123,000.00","107,000.00",1.32M,0.17%
03/26/2024,"115,000.00","114,000.00","121,900.00","107,200.00",1.69M,0.88%
03/25/2024,"114,000.00","117,100.00","122,900.00","113,800.00",2.79M,-0.78%
03/22/2024,"114,900.00","118,400.00","124,300.00","114,500.00",2.41M,-1.12%
03/21/2024,"116,200.00","115,200.00","116,200.00","114,600.00",3.76M,1.48%
03/20/2024,"114,500.00","112,300.00","115,000.00","111,100.00",3.48M,2.23%
03/19/2024,"112,000.00","113,000.00","113,000.00","111,100.00",3.32M,-0.88%
03/18/2024,"113,000.00","115,800.00","115,800.00","111,100.00",5.88M,-2.59%
03/15/2024,"116,000.00","116,800.00","116,800.00","114,500.00",3.84M,-0.85%
03/14/2024,"117,000.00","118,500.00","118,500.00","115,700.00",3.46M,0.00%
03/13/2024,"117,000.00","112,800.00","117,000.00","112,000.00",5.11M,4.56%
03/12/2024,"111,900.00","110,000.00","113,500.00","110,000.00",2.91M,1.73%
03/11/2024,"110,000.00","110,000.00","113,500.00","110,000.00",3.38M,0.00%
03/08/2024,"110,000.00","111,300.00","112,600.00","109,500.00",3.12M,-1.17%
03/07/2024,"111,300.00","109,100.00","113,900.00","108,200.00",4.04M,2.11%
03/06/2024,"109,000.00","110,000.00","110,400.00","108,700.00",2.51M,-1.54%
03/05/2024,"110,700.00","111,400.00","111,400.00","109,900.00",3.38M,-0.63%
03/04/2024,"111,400.00","111,000.00","111,800.00","110,800.00",3.09M,0.54%
03/01/2024,"110,800.00","109,200.00","111,400.00","109,100.00",4.02M,1.65%
