Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
24/05/2024,"44,800","46,000","46,000","44,500",1.89M,-1.65%
23/05/2024,"45,550","45,500","45,900","44,400",2.65M,-3.09%
22/05/2024,"47,000","43,200","47,000","43,200",3.15M,1.18%
21/05/2024,"46,450","43,450","47,700","43,450",3.34M,-0.54%
20/05/2024,"46,700","47,000","48,900","45,900",3.22M,-0.32%
17/05/2024,"46,850","46,750","47,000","46,250",2.17M,0.21%
16/05/2024,"46,750","46,150","48,200","45,600",2.78M,0.86%
15/05/2024,"46,350","46,500","48,050","46,050",1.36M,0.65%
14/05/2024,"46,050","45,550","48,150","45,000",5.26M,2.22%
13/05/2024,"45,050","45,000","45,500","44,100",1.17M,0.11%
10/05/2024,"45,000","45,400","46,150","44,400",1.17M,-0.88%
09/05/2024,"45,400","45,900","46,000","42,500",1.42M,0.00%
08/05/2024,"45,400","45,150","46,900","44,250",1.20M,0.89%
07/05/2024,"45,000","44,400","45,450","42,650",1.05M,0.56%
06/05/2024,"44,750","44,450","44,900","41,500",1.52M,0.67%
03/05/2024,"44,450","44,400","44,900","43,350",1.32M,0.11%
02/05/2024,"44,400","43,550","44,900","41,500",1.60M,-0.11%
26/04/2024,"44,450","40,100","44,900","39,950",2.70M,7.11%
25/04/2024,"41,500","41,800","42,350","41,300",1.52M,-0.24%
24/04/2024,"41,600","40,600","42,800","40,600",1.58M,1.46%
23/04/2024,"41,000","42,000","43,450","40,600",2.70M,-2.38%
22/04/2024,"42,000","42,600","45,250","39,650",3.22M,-1.41%
19/04/2024,"42,600","44,900","47,250","42,000",3.67M,-5.44%
17/04/2024,"45,050","45,000","48,600","44,500",2.58M,-2.91%
16/04/2024,"46,400","43,750","47,250","43,750",4.79M,-1.28%
15/04/2024,"47,000","48,000","48,450","45,100",5.60M,-2.99%
12/04/2024,"48,450","45,000","48,900","45,000",3.01M,-1.12%
11/04/2024,"49,000","48,500","49,500","47,250",3.40M,1.03%
10/04/2024,"48,500","44,400","51,000","44,400",5.16M,1.68%
09/04/2024,"47,700","47,600","47,700","47,000",3.50M,7.19%
08/04/2024,"44,500","48,450","48,450","44,500",2.95M,-6.90%
05/04/2024,"47,800","47,850","47,950","47,100",3.38M,-0.10%
04/04/2024,"47,850","47,750","47,950","46,800",4.12M,0.21%
03/04/2024,"47,750","46,000","47,850","46,000",4.26M,0.95%
02/04/2024,"47,300","47,800","48,000","46,700",4.28M,-1.15%
01/04/2024,"47,850","47,000","48,000","47,000",4.45M,0.42%
29/03/2024,"47,650","44,300","47,900","44,300",3.52M,0.11%
28/03/2024,"47,600","47,400","47,950","46,900",4.64M,1.17%
27/03/2024,"47,050","46,600","48,900","43,800",4.20M,0.00%
26/03/2024,"47,050","46,850","47,200","44,000",3.48M,0.43%
25/03/2024,"46,850","46,600","49,850","43,350",4.74M,0.54%
22/03/2024,"46,600","46,500","49,300","46,050",5.20M,0.22%
21/03/2024,"46,500","46,500","46,850","45,900",3.53M,0.00%
20/03/2024,"46,500","46,800","47,000","45,800",4.70M,-1.06%
19/03/2024,"47,000","46,200","47,300","45,600",7.83M,1.95%
18/03/2024,"46,100","44,850","46,200","43,900",7.73M,3.83%
15/03/2024,"44,400","45,900","46,000","44,400",4.81M,-3.37%
14/03/2024,"45,950","45,200","46,850","45,000",6.02M,2.11%
13/03/2024,"45,000","44,250","45,000","44,100",2.24M,1.93%
12/03/2024,"44,150","44,350","44,600","44,050",2.84M,-0.45%
11/03/2024,"44,350","44,900","45,250","44,350",3.45M,-1.00%
08/03/2024,"44,800","46,000","46,000","44,800",3.90M,-1.75%
07/03/2024,"45,600","45,600","45,850","45,350",2.47M,0.00%
06/03/2024,"45,600","45,300","46,850","45,200",3.71M,0.66%
05/03/2024,"45,300","45,200","45,500","45,000",3.15M,0.11%
04/03/2024,"45,250","45,300","45,750","45,150",3.74M,0.00%
01/03/2024,"45,250","45,000","45,600","44,850",2.98M,0.56%
29/02/2024,"45,000","46,000","46,150","45,000",4.02M,-1.32%
28/02/2024,"45,600","45,900","46,400","45,250",3.37M,1.00%
27/02/2024,"45,150","44,800","45,650","44,350",4.37M,1.23%
26/02/2024,"44,600","45,350","45,750","44,300",5.09M,-1.87%
23/02/2024,"45,450","47,950","47,950","45,200",9.88M,-4.52%
22/02/2024,"47,600","47,250","47,700","47,000",4.02M,0.74%
21/02/2024,"47,250","48,550","48,550","47,100",6.65M,-2.58%
20/02/2024,"48,500","48,000","49,350","47,900",8.97M,3.19%
19/02/2024,"47,000","44,300","47,000","44,300",16.64M,6.94%
16/02/2024,"43,950","42,550","44,150","42,500",4.99M,3.29%
