date,dji
2022-07-27,1000000.0
2022-07-28,1010312.6046774415
2022-07-29,1020111.4141040497
2022-08-01,1018660.0486764889
2022-08-02,1006167.5448096792
2022-08-03,1019098.0181819218
2022-08-04,1016436.9591425406
2022-08-05,1018817.5235845365
2022-08-08,1019720.3959001686
2022-08-09,1017915.0152324823
2022-08-10,1034534.3201275618
2022-08-11,1035377.8663799928
2022-08-12,1048558.3220696717
2022-08-15,1053260.2462116547
2022-08-16,1060700.874956309
2022-08-17,1055368.4445761724
2022-08-18,1055949.8157313066
2022-08-19,1046871.4722071952
2022-08-22,1026897.029729637
2022-08-23,1022113.4564250065
2022-08-24,1023965.7883942447
2022-08-25,1033983.6432341659
2022-08-26,1002665.1232993347
2022-08-29,996937.6711159596
2022-08-30,987367.9767616534
2022-08-31,978658.0250389957
2022-09-05,983192.222632153
2022-09-06,972695.1490813013
2022-09-07,967317.769199291
2022-09-08,980858.4881705164
2022-09-09,986860.1869098558
2022-09-12,998575.0825924348
2022-09-13,1005706.9489018187
2022-09-14,966065.1885458721
2022-09-15,967000.6356017282
2022-09-16,961619.1914597645
2022-09-19,957289.662718592
2022-09-20,963416.2009651585
2022-09-21,953681.0245040905
2022-09-22,937454.6182913779
2022-09-23,934128.2944921512
2022-09-26,919025.6258262731
2022-09-27,908788.8468942321
2022-09-28,904881.091279275
2022-09-29,921924.2924214412
2022-09-30,907695.5609667503
2022-10-03,892163.3546183277
2022-10-04,915934.7258013659
2022-10-05,941571.1070182733
2022-10-06,940252.6489572505
2022-10-07,929477.6285540588
2022-10-10,909906.2757390493
2022-10-11,906989.6536073703
2022-10-12,908117.3340929658
2022-10-13,907237.1488403574
2022-10-14,932949.3558026652
2022-10-17,920405.2297683869
2022-10-18,937518.0086145326
2022-10-19,948015.0821653843
2022-10-20,944909.5629367639
2022-10-21,942107.4680109378
2022-10-24,965369.1688636924
2022-10-25,978322.2686383625
2022-10-26,988792.6515268333
2022-10-27,988866.2328301698
2022-10-28,994896.8060133577
2022-10-31,1020629.2129542403
2022-11-01,1016627.3120937939
2022-11-02,1014150.4186248414
2022-11-03,998452.3662060788
2022-11-04,993902.0328943002
2022-11-07,1006386.5295623958
2022-11-08,1019548.3624490043
2022-11-09,1029916.4715720788
2022-11-10,1009825.2574466037
2022-11-11,1047139.5920429311
2022-11-14,1048148.620402124
2022-11-15,1041590.3606915453
2022-11-16,1043336.5366172229
2022-11-17,1042122.3541212748
2022-11-18,1041889.1747890193
2022-11-21,1048081.2871402083
2022-11-22,1046670.9282757603
2022-11-23,1059026.5211766746
2022-11-24,1062006.776273894
2022-11-25,1066757.8354988964
2022-11-28,1051304.1846227087
2022-11-29,1051399.543080124
2022-11-30,1074296.8557307823
2022-12-01,1068248.0237081023
2022-12-02,1069330.936673613
2022-12-05,1054336.7291539558
2022-12-06,1043442.6926607837
2022-12-07,1043491.8277438033
2022-12-08,1049192.8319071827
2022-12-09,1039719.4665798331
2022-12-12,1056136.1650832025
2022-12-13,1059353.8457544195
2022-12-14,1054934.5999912892
2022-12-15,1031201.9909292997
2022-12-16,1022451.0933041257
2022-12-19,1017391.0290014672
2022-12-20,1020254.5731113657
2022-12-21,1036614.2506541943
2022-12-22,1025775.1726612883
2022-12-23,1031255.1296116763
2022-12-26,1032423.8166603843
2022-12-27,1021061.2377212339
2022-12-28,1031779.1158426914
2022-12-29,1029494.7591064596
2022-12-30,1029156.8795849553
2023-01-03,1033299.9983136355
2023-01-04,1022749.7860804071
2023-01-05,1044507.0434838206
2023-01-06,1040998.6772350366
2023-01-09,1046789.5804021627
2023-01-10,1055141.4526247415
2023-01-11,1061879.752985199
