,date,dji
0,2022-07-27,1000000.0
1,2022-07-28,1010312.6046774415
2,2022-07-29,1020111.4141040497
3,2022-08-01,1018660.0486764889
4,2022-08-02,1006167.5448096792
5,2022-08-03,1019098.0181819218
6,2022-08-04,1016436.9591425406
7,2022-08-05,1018817.5235845365
8,2022-08-08,1019720.3959001686
9,2022-08-09,1017915.0152324823
10,2022-08-10,1034534.3201275618
11,2022-08-11,1035377.8663799928
12,2022-08-12,1048558.3220696717
13,2022-08-15,1053260.2462116547
14,2022-08-16,1060700.874956309
15,2022-08-17,1055368.4445761724
16,2022-08-18,1055949.8157313066
17,2022-08-19,1046871.4722071952
18,2022-08-22,1026897.029729637
19,2022-08-23,1022113.4564250065
20,2022-08-24,1023965.7883942447
21,2022-08-25,1033983.6432341659
22,2022-08-26,1002665.1232993347
23,2022-08-29,996937.6711159596
24,2022-08-30,987367.9767616534
25,2022-08-31,978658.0250389957
26,2022-09-05,983192.222632153
27,2022-09-06,972695.1490813013
28,2022-09-07,967317.769199291
29,2022-09-08,980858.4881705164
30,2022-09-09,986860.1869098558
31,2022-09-12,998575.0825924348
32,2022-09-13,1005706.9489018187
33,2022-09-14,966065.1885458721
34,2022-09-15,967000.6356017282
35,2022-09-16,961619.1914597645
36,2022-09-19,957289.662718592
37,2022-09-20,963416.2009651585
38,2022-09-21,953681.0245040905
39,2022-09-22,937454.6182913779
40,2022-09-23,934128.2944921512
41,2022-09-26,919025.6258262731
42,2022-09-27,908788.8468942321
43,2022-09-28,904881.091279275
44,2022-09-29,921924.2924214412
45,2022-09-30,907695.5609667503
46,2022-10-03,892163.3546183277
47,2022-10-04,915934.7258013659
48,2022-10-05,941571.1070182733
49,2022-10-06,940252.6489572505
50,2022-10-07,929477.6285540588
51,2022-10-10,909906.2757390493
52,2022-10-11,906989.6536073703
53,2022-10-12,908117.3340929658
54,2022-10-13,907237.1488403574
55,2022-10-14,932949.3558026652
56,2022-10-17,920405.2297683869
57,2022-10-18,937518.0086145326
58,2022-10-19,948015.0821653843
59,2022-10-20,944909.5629367639
60,2022-10-21,942107.4680109378
61,2022-10-24,965369.1688636924
62,2022-10-25,978322.2686383625
63,2022-10-26,988792.6515268333
64,2022-10-27,988866.2328301698
65,2022-10-28,994896.8060133577
66,2022-10-31,1020629.2129542403
67,2022-11-01,1016627.3120937939
68,2022-11-02,1014150.4186248414
69,2022-11-03,998452.3662060788
70,2022-11-04,993902.0328943002
71,2022-11-07,1006386.5295623958
72,2022-11-08,1019548.3624490043
73,2022-11-09,1029916.4715720788
74,2022-11-10,1009825.2574466037
75,2022-11-11,1047139.5920429311
76,2022-11-14,1048148.620402124
77,2022-11-15,1041590.3606915453
78,2022-11-16,1043336.5366172229
79,2022-11-17,1042122.3541212748
80,2022-11-18,1041889.1747890193
81,2022-11-21,1048081.2871402083
82,2022-11-22,1046670.9282757603
83,2022-11-23,1059026.5211766746
84,2022-11-24,1062006.776273894
85,2022-11-25,1066757.8354988964
86,2022-11-28,1051304.1846227087
87,2022-11-29,1051399.543080124
88,2022-11-30,1074296.8557307823
89,2022-12-01,1068248.0237081023
90,2022-12-02,1069330.936673613
91,2022-12-05,1054336.7291539558
92,2022-12-06,1043442.6926607837
93,2022-12-07,1043491.8277438033
94,2022-12-08,1049192.8319071827
95,2022-12-09,1039719.4665798331
96,2022-12-12,1056136.1650832025
97,2022-12-13,1059353.8457544195
98,2022-12-14,1054934.5999912892
99,2022-12-15,1031201.9909292997
100,2022-12-16,1022451.0933041257
101,2022-12-19,1017391.0290014672
102,2022-12-20,1020254.5731113657
103,2022-12-21,1036614.2506541943
104,2022-12-22,1025775.1726612883
105,2022-12-23,1031255.1296116763
106,2022-12-26,1032423.8166603843
107,2022-12-27,1021061.2377212339
108,2022-12-28,1031779.1158426914
109,2022-12-29,1029494.7591064596
110,2022-12-30,1029156.8795849553
111,2023-01-03,1033299.9983136355
112,2023-01-04,1022749.7860804071
113,2023-01-05,1044507.0434838206
114,2023-01-06,1040998.6772350366
115,2023-01-09,1046789.5804021627
116,2023-01-10,1055141.4526247415
117,2023-01-11,1061879.752985199
118,2023-01-12,1065378.1708961863
119,2023-01-13,1053210.86848625
120,2023-01-16,1034144.5151356074
121,2023-01-17,1026305.3462731282
122,2023-01-18,1036583.4350712635
123,2023-01-19,1044474.4080830002
124,2023-01-27,1047716.9595987083
125,2023-01-30,1048023.7808948967
126,2023-01-31,1054408.4299788063
127,2023-02-01,1055298.8062115964
128,2023-02-02,1047192.973367693
129,2023-02-03,1058651.8813338005
130,2023-02-06,1058866.8624871597
131,2023-02-07,1057654.9850938716
132,2023-02-08,1053681.7160348885
133,2023-02-09,1052594.9207912132
134,2023-02-10,1060846.2177450927
135,2023-02-13,1054396.055217157
136,2023-02-14,1046658.4321929183
137,2023-02-15,1051919.4043905898
138,2023-02-16,1063617.8003909697
139,2023-02-17,1058752.2139601142
140,2023-02-20,1059956.6907606511
141,2023-02-21,1046564.4082686217
142,2023-02-22,1050597.003390806
143,2023-02-23,1028946.265994531
144,2023-02-24,1026321.8459553274
145,2023-02-27,1029701.6117399121
146,2023-02-28,1019235.3537719911
147,2023-03-01,1021476.7628060281
148,2023-03-02,1014259.1224134474
149,2023-03-03,1014418.7811029626
150,2023-03-06,1025032.3229987492
151,2023-03-07,1037064.2309576985
152,2023-03-08,1038321.2398346489
153,2023-03-09,1020463.3668839002
154,2023-03-10,1018660.0486764889
155,2023-03-13,1001778.6900053053
156,2023-03-14,991056.8082844904
157,2023-03-15,988246.0388933906
158,2023-03-16,998689.670458884
159,2023-03-17,989967.5866169621
160,2023-03-20,1001520.6398285585
161,2023-03-21,989576.5684130811
162,2023-03-22,1001459.4332868714
163,2023-03-23,1011274.4390926971
164,2023-03-24,994798.3538655298
165,2023-03-27,997132.0883271664
166,2023-03-28,1001240.4485341548
