date,ACB,BID,BVH,FPT,VIC
2022-09-13,0,100,100,100,0
2022-09-14,0,100,100,100,0
2022-09-15,0,100,100,100,0
2022-09-16,0,100,100,100,0
2022-09-19,0,100,100,100,0
2022-09-20,0,100,100,100,0
2022-09-21,0,100,100,100,0
2022-09-22,0,100,100,100,0
2022-09-23,0,100,100,100,0
2022-09-26,0,100,100,100,0
2022-09-27,0,100,100,100,0
2022-09-28,0,100,100,100,0
2022-09-29,0,100,100,100,0
2022-09-30,0,100,100,100,0
2022-10-03,0,100,100,100,0
2022-10-04,0,100,100,100,0
2022-10-05,0,100,100,100,0
2022-10-06,0,100,100,100,0
2022-10-07,0,100,100,100,0
2022-10-10,0,100,100,100,0
2022-10-11,0,100,100,100,0
2022-10-12,0,100,100,100,0
2022-10-13,0,100,100,100,0
2022-10-14,0,100,100,100,0
2022-10-17,0,100,100,100,0
2022-10-18,0,100,100,100,0
2022-10-19,0,100,100,100,0
2022-10-20,0,100,100,100,0
2022-10-21,0,100,100,100,0
2022-10-24,0,100,100,100,0
2022-10-25,0,100,100,100,0
2022-10-26,0,100,100,100,0
2022-10-27,0,100,100,100,0
2022-10-28,0,100,100,100,0
2022-10-31,0,100,100,100,0
2022-11-01,0,100,100,100,0
2022-11-02,0,100,100,100,0
2022-11-03,0,100,100,100,0
2022-11-04,0,100,100,100,0
2022-11-07,0,100,100,100,0
2022-11-08,0,100,100,100,0
2022-11-09,0,100,100,100,0
2022-11-10,0,100,100,100,0
2022-11-11,0,100,100,100,0
2022-11-14,0,100,100,100,0
2022-11-15,0,100,100,100,0
2022-11-16,0,100,100,100,0
2022-11-17,0,100,100,100,0
2022-11-18,0,100,100,100,0
2022-11-21,0,100,100,100,0
2022-11-22,0,100,100,100,0
2022-11-23,0,100,100,100,0
2022-11-24,0,100,100,100,0
2022-11-25,0,100,100,100,0
2022-11-28,0,100,100,100,0
2022-11-29,0,100,100,100,0
2022-11-30,0,100,100,100,0
2022-12-01,0,100,100,100,0
2022-12-02,0,100,100,100,0
2022-12-05,0,100,100,100,0
2022-12-06,0,100,100,100,0
2022-12-07,0,100,100,100,0
2022-12-08,0,100,100,100,0
2022-12-09,0,100,100,100,0
2022-12-12,100,-100,-100,-100,0
2022-12-13,100,-100,-100,-100,0
2022-12-14,100,-100,-100,-100,0
2022-12-15,100,-100,-100,-100,0
2022-12-16,100,-100,-100,-100,0
2022-12-19,100,-100,-100,-100,0
2022-12-20,100,-100,-100,-100,0
2022-12-21,100,-100,-100,-100,0
2022-12-22,100,-100,-100,-100,0
2022-12-23,100,-100,-100,-100,0
2022-12-26,100,-100,-100,-100,0
2022-12-27,100,-100,-100,-100,0
2022-12-28,100,-100,-100,-100,0
2022-12-29,100,-100,-100,-100,0
2022-12-30,100,-100,-100,-100,0
2023-01-03,100,-100,-100,-100,0
2023-01-04,100,-100,-100,-100,0
2023-01-05,100,-100,-100,-100,0
2023-01-06,100,-100,-100,-100,0
2023-01-09,100,-100,-100,-100,0
2023-01-10,100,-100,-100,-100,0
2023-01-11,100,-100,-100,-100,0
2023-01-12,100,-100,-100,-100,0
2023-01-13,100,-100,-100,-100,0
2023-01-16,100,-100,-100,-100,0
2023-01-17,100,-100,-100,-100,0
2023-01-18,100,-100,-100,-100,0
2023-01-19,100,-100,-100,-100,0
2023-01-27,100,-100,-100,-100,0
2023-01-30,100,-100,-100,-100,0
2023-01-31,100,-100,-100,-100,0
2023-02-01,100,-100,-100,-100,0
2023-02-02,100,-100,-100,-100,0
2023-02-03,100,-100,-100,-100,0
2023-02-06,100,-100,-100,-100,0
2023-02-07,100,-100,-100,-100,0
2023-02-08,100,-100,-100,-100,0
2023-02-09,100,-100,-100,-100,0
2023-02-10,100,-100,-100,-100,0
2023-02-13,100,-100,-100,-100,0
2023-02-14,100,-100,-100,-100,0
2023-02-15,100,-100,-100,-100,0
2023-02-16,100,-100,-100,-100,0
2023-02-17,100,-100,-100,-100,0
2023-02-20,100,-100,-100,-100,0
2023-02-21,100,-100,-100,-100,0
2023-02-22,100,-100,-100,-100,0
2023-02-23,100,-100,-100,-100,0
2023-02-24,100,-100,-100,-100,0
2023-02-27,100,-100,-100,-100,0
2023-02-28,100,-100,-100,-100,0
2023-03-01,100,-100,-100,-100,0
2023-03-02,100,-100,-100,-100,0
2023-03-03,100,-100,-100,-100,0
