date,ensemble,dji
2022-09-13,1000000000.0,1000000000.0
2022-09-14,999883161.1,1000968306.3492476
2022-09-15,999693421.6,995397829.112547
2022-09-16,999072268.3,990916217.734241
2022-09-19,997687216.3,997257961.8724273
2022-09-20,998905506.3,987180819.484426
2022-09-21,998382149.3,970384430.9952219
2022-09-22,999131076.7,966941263.9722663
2022-09-23,1000794894.7,951308086.3720975
2022-09-26,998330602.6,940711721.806421
2022-09-27,997144682.4,936666699.1088957
2022-09-28,992713579.1,954308573.947404
2022-09-29,988684377.1,939580032.2057147
2022-09-30,993738309.5,923502228.6241554
2022-10-03,980673851.9,948108612.8152875
2022-10-04,978331826.3,974645518.9380466
2022-10-05,984638055.8,973280747.6196561
2022-10-06,977320790.2,962127234.8640519
2022-10-07,968384654.1,941868402.3887109
2022-10-10,973097013.6,938849328.5557442
2022-10-11,958455924.3,940016620.8864954
2022-10-12,968527866.3,939105517.5126816
2022-10-13,975678428.0,965720912.8992082
2022-10-14,982356264.0,952736151.4327902
2022-10-17,981140809.0,970450048.0197315
2022-10-18,984592904.0,981315850.5300695
2022-10-19,987390560.3,978101244.243205
2022-10-20,993482308.4,975200720.5942328
2022-10-21,973258830.3,999279531.3500248
2022-10-24,958192673.9,1012687632.5094995
2022-10-25,973235036.5,1023525806.7989912
2022-10-26,979810497.2,1023601972.7805512
2022-10-27,998636745.3,1029844380.9065135
2022-10-28,994103104.6,1056480685.8329077
2022-10-31,998677300.8,1052338210.8654886
2022-11-01,998202862.0,1049774311.9709629
2022-11-02,988150136.3,1033524836.671691
2022-11-03,987301989.4,1028814664.5572938
2022-11-04,975312565.0,1041737702.0666852
2022-11-07,970102455.7,1055361868.4714592
2022-11-08,986415279.6,1066094176.4419811
2022-11-09,996317595.3,1045297221.5742497
2022-11-10,975574769.1,1083922290.6055572
2022-11-11,981699836.4,1084966762.9363651
2022-11-14,966667160.9,1078178132.3259916
2022-11-15,919424526.7,1079985645.8834422
2022-11-16,958574842.0,1078728813.000585
2022-11-17,966756705.9,1078487442.8166468
2022-11-18,974632795.4,1084897064.4701395
2022-11-21,962793820.5,1083437164.1640625
2022-11-22,971638786.9,1096226769.925049
2022-11-23,978860476.1,1099311711.9481695
2022-11-24,982209523.4,1104229660.8416123
2022-11-25,1007241906.0,1088233172.137316
2022-11-28,1016406016.0,1088331880.23543
2022-11-29,1026839956.0,1112033502.9852605
2022-11-30,1036063706.0,1105772194.6445832
2022-12-01,1020942291.0,1106893146.9140062
2022-12-02,1051666141.0,1091372240.3567305
2022-12-05,1070824461.0,1080095530.8527167
2022-12-06,1029107456.0,1080146391.8956382
2022-12-07,1033361146.0,1086047654.2855608
2022-12-08,1037684766.0,1076241519.6274962
2022-12-09,1041448316.0,1093234884.7730515
2022-12-12,1031998316.0,1096565592.3788807
2022-12-13,1045465646.0,1091991112.503685
2022-12-14,1039487906.0,1067424852.0241911
2022-12-15,1047505341.0,1058366563.0713037
2022-12-16,1047782661.0,1053128754.7301556
2022-12-19,1030570181.0,1056092886.0784849
2022-12-20,1027338171.0,1073027227.2976868
2022-12-21,1030536271.0,1061807406.8120518
2022-12-22,1033894401.0,1067479857.3002393
2022-12-23,1036662461.0,1068689596.624836
2022-12-26,1012180461.0,1056927886.2621498
2022-12-27,1024669101.0,1068022249.5085787
2022-12-28,1036497461.0,1065657650.5526115
2022-12-29,1023605581.0,1065307902.3932632
2022-12-30,1020923951.0,1069596555.7655232
2023-01-03,1058042361.0,1058675747.9791368
2023-01-04,1054859791.0,1081197268.9503694
2023-01-05,1059317341.0,1077565664.9029605
2023-01-06,1061814781.0,1083559984.1640062
2023-01-09,1056182171.0,1092205231.215243
2023-01-10,1057309751.0,1099180226.733506
2023-01-11,1062957331.0,1102801532.9895084
2023-01-12,1064764746.0,1090206831.7683098
2023-01-13,1062542121.0,1070470737.7896607
2023-01-16,1073544551.0,1062356203.7443146
2023-01-17,1081741706.0,1072995329.2608918
2023-01-18,1090613631.0,1081163487.171244
2023-01-19,1102740271.0,1084519939.255589
2023-01-27,1107056556.0,1084837538.2124982
2023-01-30,1099792681.0,1091446459.8045492
2023-01-31,1098959041.0,1092368112.1354134
2023-02-01,1079605431.0,1083977547.0472498
2023-02-02,1082122431.0,1095838970.1706262
2023-02-03,1077209351.0,1096061502.93126
2023-02-06,1085741436.0,1094807056.1220214
2023-02-07,1075498226.0,1090694218.7006009
2023-02-08,1076690356.0,1089569247.7808728
2023-02-09,1073587421.0,1098110386.6726484
2023-02-10,1071304596.0,1091433650.3567023
2023-02-13,1069301851.0,1083424229.1333938
2023-02-14,1066589151.0,1088870002.6278207
2023-02-15,1070306531.0,1100979326.2418807
2023-02-16,1075953741.0,1095942827.1644435
2023-02-17,1078560731.0,1097189613.4215384
2023-02-20,1087637601.0,1083326902.446322
2023-02-21,1085544071.0,1087501149.8677144
2023-02-22,1074865686.0,1065089890.6142225
2023-02-23,1074442706.0,1062373283.0081105
2023-02-24,1070564751.0,1065871769.2641695
2023-02-27,1066412031.0,1055037864.7906266
2023-02-28,1067344506.0,1057358007.4275961
2023-03-01,1070831936.0,1049886834.1795
2023-03-02,1071109106.0,1050052101.1732888
2023-03-03,1068006286.0,1061038463.1927736
2023-03-06,1066678731.0,1073493013.9845891
2023-03-07,1068806271.0,1074794177.6036222
2023-03-08,1072213601.0,1056309014.1151952
2023-03-09,1072910651.0,1054442351.0485694
2023-03-10,1072542581.0,1036968003.6946467
2023-03-13,1073219686.0,1025869496.2150908
2023-03-14,1070736891.0,1022959993.3943436
2023-03-15,1077644346.0,1033770476.671578
2023-03-16,1073026286.0,1024742013.6389225
2023-03-17,1072373551.0,1036700889.032193
2023-03-20,1069853551.0,1024337260.2035259
2023-03-21,1069840468.6,1036637532.4984796
2023-03-22,1069947514.0,1046797308.3833755
2023-03-23,1069798702.0,1029742470.4464375
2023-03-24,1072998829.6,1032158181.6109701
2023-03-27,1073236872.75,1036410855.5047189
2023-03-28,1073920866.75,1042665507.9558287
2023-03-29,1074531456.35,1041449301.1158977
2023-03-30,1075971211.0500002,1051844733.1663291
2023-03-31,1084971997.0500002,1056391647.6120898
2023-04-03,1105849405.85,1069737334.1090167
2023-04-04,1097734605.25,1080250123.3066332
2023-04-05,1088197405.25,1073859841.4077332
2023-04-06,1081080232.4500003,1076442703.3083851
2023-04-07,1080197179.5500002,1076525336.8052797
2023-04-10,1075860891.7500002,1079779815.6381383
2023-04-11,1074522573.15,1082939102.691899
2023-04-12,1070197824.1500005,1081708139.8703797
2023-04-13,1069638087.1500005,1094027437.9628708
2023-04-14,1067924211.3500004,1089422943.7932103
2023-04-17,1067325569.7500004,1092660720.110739
2023-04-18,1065923553.4500002,1092321520.9084408
2023-04-19,1062963078.2500002,1089761891.8298643
2023-04-20,1064470803.6500005,1086212921.2793498
2023-04-21,1064492002.8500004,1086931129.4385285
2023-04-24,1062306546.0500004,1089067042.0755825
2023-04-25,1059876750.5500004,1077989381.3444834
2023-04-26,1056565087.8500004,1070628595.3969501
2023-04-27,1043977183.5500004,1087484070.6039183
2023-04-28,1055703664.5500004,1096228653.6673796
2023-05-04,1050772043.3500004,1094734971.5821772
2023-05-05,1047049492.1000004,1082930814.2256453
2023-05-08,1050949616.9500004,1074241110.8554106
2023-05-09,1049394456.9500004,1065030364.3565811
2023-05-10,1049078381.3500004,1082604424.4711943
2023-05-11,1047712907.7500004,1080814115.7603617
2023-05-12,1057319262.7500004,1078985378.7059884
2023-05-15,1075862543.0500004,1078005455.945703
2023-05-16,1064317385.3500004,1070874235.396837
2023-05-17,1065464830.3500004,1070588408.8939011
2023-05-18,1064418866.5500004,1072130942.6968724
2023-05-19,1057076111.9500004,1061313991.9043033
2023-05-22,1052499640.7500004,1074451085.3338416
2023-05-23,1057628278.0500004,1078152764.5959418
2023-05-24,1056320051.5000004,1074639459.5668838
2023-05-25,1055754708.3000004,1070136938.64871
2023-05-26,1048363829.4500004,1062708337.9772815
2023-05-29,1056406731.7500004,1054491328.3491603
2023-05-30,1053313092.8000004,1053357378.2576578
2023-05-31,1049551901.8000004,1063924482.0258015
2023-06-01,1049782295.8000004,1062299063.5602918
2023-06-02,1053467265.2000004,1057974619.0837541
2023-06-05,1055820187.2000004,1062903116.9342471
2023-06-06,1066709503.2000004,1085445861.4024024
2023-06-07,1060982161.9500004,1079019160.4851139
2023-06-08,1053398174.0500004,1079354215.4542847
2023-06-09,1050752783.9500004,1082303528.029615
2023-06-12,1063491306.4500004,1087723557.045526
2023-06-13,1073414457.6000004,1089111498.3945806
2023-06-14,1068011103.6500006,1095205279.2506723
2023-06-15,1064068206.2500004,1099892406.9172273
2023-06-16,1062038964.6500006,1092408298.6384625
2023-06-19,1047131250.4500004,1106191641.270157
2023-06-20,1048474895.5500004,1102689387.5294375
2023-06-21,1052370645.5500004,1094804795.6312249
2023-06-22,1054019520.5500004,1091514274.5284443
2023-06-23,1056215889.5500004,1091359682.0745277
2023-06-26,1058556399.5500004,1084309964.777158
2023-06-27,1060405174.5500004,1083901067.1086345
2023-06-28,1060889874.5500004,1090717577.105498
2023-06-29,1051806104.5500004,1088336024.4685571
2023-06-30,1041821594.5500004,1097008648.574996
2023-07-03,1046955499.5500004,1106176948.07998
2023-07-04,1049587439.5500004,1106526319.4908621
2023-07-05,1047062604.5500004,1102352448.817936
2023-07-06,1046403263.1000004,1090573659.191454
2023-07-07,1046403263.1000004,1084549451.2187657
2023-07-10,1046403263.1000004,1091285337.0438871
2023-07-11,1046403263.1000004,1101477387.7140443
2023-07-12,1046403263.1000004,1104242470.289459
2023-07-13,1046403263.1000004,1105776338.87771
2023-07-14,1046403263.1000004,1109437831.6367617
2023-07-17,1046403263.1000004,1111891468.813547
2023-07-18,1046403263.1000004,1123676663.1639526
2023-07-19,1046403263.1000004,1127189968.1930106
2023-07-20,1046403263.1000004,1132461432.7304626
2023-07-21,1046403263.1000004,1132542182.4850266
2023-07-24,1046403263.1000004,1138443068.1264832
2023-07-25,1046403263.1000004,1139305696.5309942
2023-07-26,1046403263.1000004,1141943563.7076948
2023-07-27,1046403263.1000004,1134311267.6989367
2023-07-28,1046403263.1000004,1139987862.4202511
2023-07-31,1046403263.1000004,1143210568.7991364
2023-08-01,1046403263.1000004,1145497934.3195562
2023-08-02,1046403263.1000004,1134304862.9750133
2023-08-03,1046403263.1000004,1132162796.7796798
2023-08-04,1046403263.1000004,1127331751.1990805
2023-08-07,1046403263.1000004,1140432802.3586965
2023-08-08,1046403263.1000004,1135332632.790491
2023-08-09,1046403263.1000004,1129187990.8914778
2023-08-10,1046403263.1000004,1130885117.1483657
2023-08-11,1046403263.1000004,1134268820.705091
2023-08-14,1046403263.1000004,1135112109.3550098
2023-08-15,1046403263.1000004,1123498586.7223165
2023-08-16,1046403263.1000004,1117690757.9519827
2023-08-17,1046403263.1000004,1108338228.4470837
2023-08-18,1046403263.1000004,1109168707.6491554
2023-08-21,1046403263.1000004,1107980191.8214815
2023-08-22,1046403263.1000004,1102358476.7933934
2023-08-23,1046403263.1000004,1108278827.7722645
2023-08-24,1046403263.1000004,1096269216.9188945
2023-08-25,1046403263.1000004,1104225391.0256631
2023-08-28,1046403263.1000004,1111075808.3844743
2023-08-29,1046403263.1000004,1120485603.6562183
2023-08-30,1046403263.1000004,1121693333.6556625
2023-08-31,1046403263.1000004,1116281718.6888275
2023-09-05,1046403263.1000004,1120004621.4478507
2023-09-06,1046403263.1000004,1113711666.2360222
2023-09-07,1046403263.1000004,1107321133.171478
2023-09-08,1046403263.1000004,1109170968.139952
2023-09-11,1046403263.1000004,1111609786.5437376
2023-09-12,1046403263.1000004,1114410911.3890748
2023-09-13,1046403263.1000004,1113840890.9598892
2023-09-14,1046403263.1000004,1111575753.5989683
2023-09-15,1046403263.1000004,1122235725.864002
2023-09-18,1046403263.1000004,1112948750.5922015
2023-09-19,1046403263.1000004,1113143655.131989
2023-09-20,1046403263.1000004,1109717504.5814183
2023-09-21,1046403263.1000004,1107246788.1408374
2023-09-22,1046383583.1000004,1095336890.048158
2023-09-25,1045893913.1000004,1091910362.749121
2023-09-26,1045644483.1000004,1093294034.2822266
2023-09-27,1045955133.1000004,1080820143.7358189
2023-09-28,1045795703.1000004,1078614407.0497172
2023-09-29,1045066303.1000004,1082345975.0234606
2023-10-02,1045337023.1000004,1077239400.7313316
2023-10-03,1044527703.1000004,1074855587.603594
2023-10-04,1044788483.1000004,1061000160.4320551
2023-10-05,1043879233.1000004,1065088634.7860023
2023-10-06,1045080073.1000004,1064767770.6757203
2023-10-09,1048550803.1000004,1074026992.1438525
2023-10-10,1049451243.1000004,1080362645.5151706
2023-10-11,1050421613.1000004,1084691610.9733014
2023-10-12,1049511913.1000004,1086799644.2238653
2023-10-13,1049022273.1000004,1081214348.2141652
2023-10-16,1050202663.1000004,1082472939.2565308
2023-10-17,1043532983.1000004,1092575826.1230478
2023-10-18,1043333673.1000004,1092997282.0737743
2023-10-19,1041324373.1000004,1082305411.7719452
2023-10-20,1043205173.1000004,1074238975.947436
2023-10-23,1039015883.1000004,1065015671.1664039
2023-10-24,1041306783.1000004,1058879317.7336444
2023-10-25,1038657583.1000004,1065468899.5711032
2023-10-26,1028398493.1000004,1062078791.2904546
2023-10-27,1028909813.1000004,1053989122.64387
2023-10-30,1023501113.1000004,1042199658.4775155
2023-10-31,1017892613.1000004,1058639831.2920369
2023-11-01,1024844313.1000004,1062623443.9895905
2023-11-02,1035635773.1000004,1069751148.2194397
2023-11-03,1029426873.1000004,1087899372.9963653
2023-11-06,1034218173.1000004,1095044282.0728323
2023-11-07,1033549323.1000004,1096154685.3852048
2023-11-08,1048160493.1000004,1097978901.4579852
2023-11-09,1047801233.1000004,1096682258.820545
2023-11-10,1044191983.1000004,1089598885.3268716
2023-11-13,1043812833.1000004,1102174372.3763003
2023-11-14,1048363693.1000004,1103935169.1239562
2023-11-15,1047574433.1000004,1119682752.6749926
2023-11-16,1049965193.1000004,1124939524.022267
2023-11-17,1041755893.1000004,1123468949.176318
2023-11-20,1040486793.1000004,1123527219.605739
2023-11-21,1045637723.1000004,1130077870.7683692
