account_rewards,date
13467329.99999988,2022-12-12
-5977740.0,2022-12-13
8017435.0,2022-12-14
277320.0,2022-12-15
-17212480.0,2022-12-16
-3232010.0,2022-12-19
3198100.0,2022-12-20
3358130.0,2022-12-21
2768060.0,2022-12-22
-24482000.0,2022-12-23
12488640.0,2022-12-26
11828360.0,2022-12-27
-12891880.0,2022-12-28
-2681630.0,2022-12-29
37118410.0,2022-12-30
-3182570.0,2023-01-03
4457550.0,2023-01-04
2497440.0,2023-01-05
-5632610.0,2023-01-06
1127580.0,2023-01-09
5647580.0,2023-01-10
1807415.0,2023-01-11
-2222625.0,2023-01-12
11002430.0,2023-01-13
8197155.0,2023-01-16
8871925.0,2023-01-17
12126640.0,2023-01-18
4316285.0,2023-01-19
-7263875.0,2023-01-27
-833640.0,2023-01-30
-19353610.0,2023-01-31
2517000.0,2023-02-01
-4913080.0,2023-02-02
8532085.0,2023-02-03
-10243210.0,2023-02-06
1192130.0,2023-02-07
-3102935.0,2023-02-08
-2282825.0,2023-02-09
-2002745.0,2023-02-10
-2712700.0,2023-02-13
3717380.0,2023-02-14
5647210.0,2023-02-15
2606990.0,2023-02-16
9076870.0,2023-02-17
-2093530.0,2023-02-20
-10678385.0,2023-02-21
-422980.0,2023-02-22
-3877955.0,2023-02-23
-4152720.0,2023-02-24
932475.0,2023-02-27
3487430.0,2023-02-28
277170.0,2023-03-01
-3102820.0,2023-03-02
-1327555.0,2023-03-03
2127540.0,2023-03-06
3407330.0,2023-03-07
697050.0,2023-03-08
-368070.0,2023-03-09
677105.0,2023-03-10
-2482795.0,2023-03-13
6907455.0,2023-03-14
-4618060.0,2023-03-15
-652735.0,2023-03-16
