date,ACB,BID,BVH,FPT,VIC
2023-03-20,100,64,100,0,0
2023-03-21,86,70,100,61,9
2023-03-22,100,28,100,76,-9
2023-03-23,98,100,100,81,0
2023-03-24,100,17,-100,42,61
2023-03-27,76,76,100,-69,-61
2023-03-28,-100,37,100,-52,0
2023-03-29,81,100,-36,-7,0
2023-03-30,100,-95,100,-100,0
2023-03-31,-49,100,100,-32,0
2023-04-03,20,-14,2,0,0
2023-04-04,100,100,100,0,0
2023-04-05,-100,10,100,38,0
2023-04-06,-90,-24,100,13,0
2023-04-07,27,100,100,-28,0
2023-04-10,47,100,100,100,0
2023-04-11,79,-52,100,36,0
2023-04-12,100,28,34,16,0
2023-04-13,100,84,100,-100,0
2023-04-14,100,100,-32,24,38
2023-04-17,-23,-11,71,-42,-38
2023-04-18,100,53,63,16,0
2023-04-19,94,100,32,-38,0
2023-04-20,43,100,100,-35,0
2023-04-21,-43,100,100,49,0
2023-04-24,32,72,100,-49,0
2023-04-25,81,100,-67,0,0
2023-04-26,-54,100,-2,0,0
2023-04-27,88,100,100,0,100
2023-04-28,-100,100,45,0,-67
2023-05-04,-2,-1,100,0,-23
2023-05-05,19,13,100,0,-10
2023-05-08,100,100,100,0,0
2023-05-09,-57,30,100,0,64
2023-05-10,-67,70,100,0,-64
2023-05-11,-100,-5,100,0,0
2023-05-12,41,20,100,0,0
2023-05-15,48,100,43,0,0
2023-05-16,100,53,100,0,0
2023-05-17,-15,46,100,0,0
2023-05-18,-3,100,100,0,0
2023-05-19,48,-23,100,0,0
2023-05-22,100,-33,100,31,0
2023-05-23,100,63,100,-17,0
2023-05-24,51,100,32,-14,0
2023-05-25,-100,67,100,43,0
2023-05-26,69,-71,100,-43,0
2023-05-29,-100,-37,67,0,0
2023-05-30,100,45,100,0,0
2023-05-31,-82,100,72,100,0
2023-06-01,95,4,100,-100,100
2023-06-02,98,100,80,0,17
2023-06-05,79,73,100,17,-100
2023-06-06,38,100,63,78,-17
2023-06-07,78,-70,100,100,0
2023-06-08,57,61,100,-41,0
2023-06-09,100,6,100,-58,0
2023-06-12,36,73,100,100,0
2023-06-13,-32,65,100,100,0
2023-06-14,100,100,100,-47,0
2023-06-15,89,100,100,56,13
2023-06-16,96,-41,100,-88,-13
2023-06-19,-4,100,100,-95,0
